date,volume,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,target,target_binary,sentiment_score,gdp%change,unemloyment_rate,fed_rate,cpi%change
2020-01-02,59151200,294.2695374184356,76.6634860606043,3.4683137806774766,3.2674128027856124,0.20090097789186423,301.8068807205966,293.59085540771486,285.3748300948331,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-03,77709700,294.6265053019477,66.17322215096601,3.3456755291311993,3.28306534805473,0.0626101810764692,301.9134346332679,294.16736297607423,286.42129131888055,buy,buy,-0.592,-5.5,3.6,1.55,0.27147
2020-01-06,55653900,295.0577555177964,68.49450064798256,3.302159532417704,3.286884184927325,0.015275347490379065,302.0710437831367,294.77496337890625,287.4788829746758,sell,sell,0.0,-5.5,3.6,1.55,0.27147
2020-01-07,40496400,295.36782418872053,64.94366933874693,3.1633335911358245,3.2621740661690253,-0.09884047503320081,302.2575342643725,295.2094299316406,288.1613255989087,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-08,68296000,295.79977910694504,68.28980931058793,3.145345019270053,3.238808256789231,-0.09346323751917796,302.4315650959524,295.76892242431643,289.10627975268045,buy,buy,-0.32985,-5.5,3.6,1.55,0.27147
2020-01-09,48473300,296.3842600123104,71.97443487531959,3.2576217730863846,3.2425709600486616,0.015050813037722932,302.7135433116791,296.44618225097656,290.17882119027405,sell,sell,-0.5,-5.5,3.6,1.55,0.27147
2020-01-10,53029300,296.8303356491588,68.32180144258707,3.2391600540361765,3.2418887788461648,-0.0027287248099883143,302.66707191052734,297.03907165527346,291.4110714000196,buy,buy,0.4939,-5.5,3.6,1.55,0.27147
2020-01-13,47086800,297.4311237625574,71.97250736121522,3.352954848858303,3.264101992848593,0.08885285600971038,303.27766820752885,297.61085205078126,291.9440358940337,sell,sell,0.0,-5.5,3.6,1.55,0.27147
2020-01-14,62832800,297.93066726768586,70.03199766252276,3.3670229443694097,3.2846861831527563,0.08233676121665345,303.58262127408585,298.1507797241211,292.71893817415634,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-15,72056600,298.4477858705402,71.26659076990552,3.3942449710448273,3.3065979407311707,0.0876470303136565,304.13753601753103,298.62465209960936,293.1117681816877,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-16,54050300,299.1559882764709,75.3077525106261,3.578196641802492,3.3609176809454353,0.2172789608570569,305.1486112952155,299.221484375,293.29435745478446,buy,buy,1.0,-5.5,3.6,1.55,0.27147
2020-01-17,95846000,299.8874149184811,76.64247338069578,3.7574887092229687,3.4402318866009423,0.3172568226220265,306.1535605791416,299.86499176025393,293.5764229413663,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-21,77742400,300.49195415522547,73.92636709163916,3.807204984242503,3.5136265061292544,0.29357847811324866,306.90128376497864,300.4182098388672,293.93513591275575,sell,sell,0.0,-5.5,3.6,1.55,0.27147
2020-01-22,48914900,301.04244082701206,73.98747555146089,3.805720084597681,3.57204522182294,0.2336748627747407,307.6015596927774,300.9085723876953,294.2155850826132,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-23,51963000,301.57395908809275,74.596488310898,3.7892120684203974,3.615478591142432,0.1737334772779655,308.26412112167765,301.39385375976565,294.52358639785365,sell,sell,0.0,-5.5,3.6,1.55,0.27147
2020-01-24,87578400,301.79516069186815,62.38750057484078,3.5155734967396484,3.595497572261875,-0.0799240755222268,308.3738448127385,301.742333984375,295.1108231560115,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-27,84062500,301.53135562783604,47.44736106835899,2.8725215975121614,3.4509023773119325,-0.5783807797997711,308.3528989393834,301.7682174682617,295.18353599714,buy,buy,0.0,-5.5,3.6,1.55,0.27147
2020-01-28,63834000,301.5911047988829,54.924907169072,2.585937679115318,3.27790943767261,-0.6919717585572918,308.3596139967712,301.9544738769531,295.549333757135,sell,sell,0.0,-5.5,3.6,1.55,0.27147
2020-01-29,53888900,301.62140055185387,54.262826484737445,2.3120326751250104,3.08473408516309,-0.7727014100380796,308.16250403976386,302.2105194091797,296.25853477859556,buy,buy,1.0,-5.5,3.6,1.55,0.27147
2020-01-30,75491800,301.7421221231803,56.48120146288014,2.1492448257855585,2.897636233287584,-0.7483914075020253,308.0300351063667,302.47950592041013,296.92897673445356,sell,sell,-0.3818,-5.5,3.6,1.55,0.27147
2020-01-31,113845600,301.327554316806,43.6752646236296,1.5584798374141542,2.629804954112898,-1.0713251166987439,308.2461582878391,302.33438262939455,296.42260697095,buy,buy,0.4215,-5.5,3.6,1.55,0.27147
2020-02-03,69083000,301.1628660615596,48.70608035692875,1.2540992057939775,2.354663804449114,-1.1005645986551365,308.13132949069154,302.41341400146484,296.69549851223815,buy,buy,0.0,-5.5,3.5,1.55,0.19426
2020-02-04,62573200,301.44874951607625,57.21301041321237,1.3655970434142546,2.1568504522421423,-0.7912534088278877,308.22565741909796,302.6639144897461,297.10217156039425,buy,buy,0.0,-5.5,3.5,1.55,0.19426
2020-02-05,65951100,302.04192804058687,62.38126685744992,1.7175885091596115,2.0689980636256364,-0.35140955446602495,308.726504553375,303.132096862793,297.537689172211,buy,buy,0.0,-5.5,3.5,1.55,0.19426
2020-02-06,50359700,302.67720549468277,63.77025867069058,2.0563730761900842,2.066473066138526,-0.010099989948441745,309.46018425789936,303.5725463867187,297.6849085155381,sell,sell,-1.0,-5.5,3.5,1.55,0.19426
2020-02-07,64139400,303.095279836521,59.97962259247848,2.167114721032135,2.086601397117248,0.08051332391488719,309.85468300571404,303.8290542602539,297.80342551479373,buy,buy,0.0,-5.5,3.5,1.55,0.19426
2020-02-10,42070000,303.69186614115296,63.25677096727526,2.4120551543092006,2.1516921485556386,0.26036300575356197,310.5850058431524,304.2436233520508,297.90224086094923,sell,sell,0.0,-5.5,3.5,1.55,0.19426
2020-02-11,54864500,304.2826862510357,63.999124914247375,2.6192333702846895,2.245200392901449,0.3740329773832407,311.3564987428775,304.5814666748047,297.8064346067319,buy,buy,0.0,-5.5,3.5,1.55,0.19426
2020-02-12,43992700,305.0074000744118,66.69812307005328,2.9109849108996855,2.3783572965010964,0.5326276143985891,312.4594784855661,305.0422592163086,297.6250399470511,buy,buy,0.0,-5.5,3.5,1.59,0.19426
2020-02-13,54501900,305.63139012963893,65.81226824064787,3.079836572564318,2.5186531517137407,0.5611834208505773,313.34343622792505,305.45220336914065,297.56097051035624,buy,buy,0.0,-5.5,3.5,1.59,0.19426
2020-02-14,64582200,306.24349313440547,66.53013867168787,3.2168502175171625,2.6582925648744253,0.5585576526427372,314.1622161751139,305.76093139648435,297.3596466178548,buy,buy,0.0,-5.5,3.5,1.59,0.19426
2020-02-18,57226200,306.7207131195588,64.19166466760134,3.2233876188252566,2.771311575664592,0.45207604316066474,314.71057397443775,305.9818481445312,297.2531223146247,buy,buy,0.0,-5.5,3.5,1.59,0.19426
2020-02-19,48814700,307.29421593443715,66.53583881511918,3.3104917396453857,2.879147608460751,0.4313441311846349,315.5211012824779,306.30721893310545,297.093336583733,sell,sell,-1.0,-5.5,3.5,1.59,0.19426
2020-02-20,74163400,307.69073557107555,62.718420779863706,3.2385164994203706,2.951021386652675,0.28749511276769546,316.0497429238966,306.5664993286133,297.08325573333,sell,sell,0.0,-5.5,3.5,1.59,0.19426
2020-02-21,113788200,307.74401047576475,54.336870495777056,2.889346532392608,2.938686415800662,-0.049339883408054064,316.1594984213479,306.64783630371096,297.136174186074,sell,sell,0.0,-5.5,3.5,1.59,0.19426
2020-02-24,161088400,306.8185729546354,37.25023397999989,1.767326922929385,2.704414517226407,-0.9370875942970218,316.5267351642353,306.3543533325195,296.18197150080374,sell,sell,-0.296,-5.5,3.5,1.59,0.19426
2020-02-25,218913200,305.12119107632935,28.67278394211404,0.1477013049930065,2.193071874779727,-2.0453705697867206,318.1813301691344,305.85289611816404,293.52446206719367,sell,sell,0.0,-5.5,3.5,1.59,0.19426
2020-02-26,194773800,303.4842276358382,27.859600639361854,-1.2077161366806877,1.5129142724876443,-2.720630409168332,319.6833196311898,305.14161376953126,290.5999079078727,sell,sell,0.0,-5.5,3.5,1.58,0.19426
2020-02-27,284353500,300.77158937327323,20.312391209105105,-3.287466296045295,0.5528381587810565,-3.8403044548263514,323.3874589087084,303.79622955322264,284.20500019773687,buy,buy,-1.0,-5.5,3.5,1.58,0.19426
2020-02-28,384975800,298.20725994449424,19.796376564598027,-4.971604480831161,-0.552050369141387,-4.419554111689774,325.8944261766691,302.3440872192383,278.7937482618075,buy,buy,-1.0,-5.5,3.5,1.58,0.19426
2020-03-02,238703600,297.0166137453534,37.38064350944999,-5.288384929221422,-1.4993172811573943,-3.789067648064028,326.33045044166886,301.75990295410156,277.18935546653427,sell,sell,0.0,-5.5,4.4,1.58,0.02666
2020-03-03,300139100,295.1602689978421,32.14524384918066,-6.128882223772166,-2.4252302696803487,-3.7036519540918174,327.4026596737881,300.65623626708987,273.90981286039164,buy,buy,0.0,-5.5,4.4,1.58,0.02666
2020-03-04,176613400,294.5916867151235,44.156132538474964,-5.786992524021741,-3.0975827205486275,-2.6894098034731138,327.0545418225352,299.90751190185546,272.7604819811757,sell,sell,0.0,-5.5,4.4,1.58,0.02666
2020-03-05,186366800,293.16171615650313,38.1612877368238,-6.220043291838863,-3.722074834806675,-2.497968457032188,326.78072438273676,298.50250549316405,270.22428660359134,buy,buy,-1.0,-5.5,4.4,1.58,0.02666
2020-03-06,228667200,291.4277709747454,35.65501555924101,-6.857127345474453,-4.349085336940231,-2.508042008534222,326.4509210860713,296.81465301513674,267.1783849442022,sell,sell,0.0,-5.5,4.4,1.58,0.02666
2020-03-09,309417300,287.8139732530992,26.836520288749938,-8.991021126626322,-5.27747249487745,-3.713548631748872,328.8356216907135,294.13544845581055,259.4352752209076,buy,buy,-0.4019,-5.5,4.4,1.58,0.02666
2020-03-10,276444100,285.7935285813011,37.07460918744094,-9.514090200304508,-6.124796035962862,-3.3892941643416465,327.92948358622533,291.9974418640137,256.06540014180206,sell,sell,0.0,-5.5,4.4,1.58,0.02666
2020-03-11,255316300,282.72776074580514,32.25789106915401,-10.852224375226967,-7.0702817038156835,-3.781942671411284,327.7856966550713,289.1828163146973,250.5799359743232,sell,sell,0.0,-5.5,4.4,1.3,0.02666
2020-03-12,392220700,277.64311002931476,25.576797145773245,-13.712540805452079,-8.398733524142964,-5.313807281309115,330.16775843990615,285.05515365600587,239.94254887210556,buy,buy,-1.0,-5.5,4.4,1.3,0.02666
2020-03-13,329566100,274.9098876362699,36.94135117204439,-14.233301911032868,-9.565647201520946,-4.667654709511922,327.9270754365166,281.9244026184082,235.92172980029974,sell,sell,0.0,-5.5,4.4,1.3,0.02666
2020-03-16,297240000,269.8426481166884,30.070528045111708,-16.65212629450184,-10.982943020117125,-5.669183274384716,328.18360042472983,277.406672668457,226.6297449121842,buy,buy,-0.7224,-5.5,4.4,1.3,0.02666
2020-03-17,262070500,266.39802475159456,35.727629611907766,-17.40255865178068,-12.266866146449836,-5.135692505330844,325.21406934337733,273.5276626586914,221.84125597400546,buy,buy,0.3062,-5.5,4.4,1.3,0.02666
2020-03-18,327597100,262.15464132566143,32.89500217852754,-18.736016132561105,-13.560696143672091,-5.175319988889013,322.0445815257234,268.9826629638672,215.920744402011,buy,buy,0.9878,-5.5,4.4,1.3,0.02666
2020-03-19,289322000,258.360286824873,33.12251950902588,-19.529625746857278,-14.75448206430913,-4.775143682548148,317.54311544369705,264.5254753112793,211.50783517886157,sell,sell,0.0,-5.5,4.4,1.3,0.02666
2020-03-20,347158800,254.01487905574447,30.834512324620707,-20.693089358988544,-15.942203523245013,-4.7508858357435315,313.35700040264425,259.74964447021483,206.1422885377854,sell,sell,-0.23895,-5.5,4.4,1.3,0.02666
2020-03-23,326025200,249.56529683587075,29.58498993570396,-21.80271568934421,-17.114305956464854,-4.688409732879357,310.42811775914856,255.21301193237304,199.9979061055975,buy,buy,0.0,-5.5,4.4,1.3,0.02666
2020-03-24,235494500,247.32820243855568,38.80627683673705,-20.925374550924403,-17.876519675356764,-3.0488548755676383,306.38692882317883,252.06699905395507,197.74706928473128,buy,buy,1.0,-5.5,4.4,1.3,0.02666
2020-03-25,299430300,245.62648840422895,40.32287075122102,-19.72955262823811,-18.247126265933034,-1.4824263623050769,301.6924026662365,249.14335556030272,196.59430845436898,buy,buy,0.0,-5.5,4.4,0.44,0.02666
2020-03-26,257632800,245.36285497547797,46.02577620778513,-17.499020023309868,-18.097505017408402,0.5984849940985342,298.77330966066955,247.53619613647462,196.29908261227968,buy,buy,1.0,-5.5,4.4,0.44,0.02666
2020-03-27,224341200,244.4354082451125,43.60304958256217,-16.12907785872636,-17.703819585671994,1.574741726945632,295.63079638966667,245.62512283325196,195.6194492768373,buy,buy,0.296,-5.5,4.4,0.44,0.02666
2020-03-30,171369500,244.3250582597149,46.79364326182483,-14.261532726915277,-17.01536221392065,2.7538294870053726,290.0050993926658,243.50368576049806,197.00227212833036,sell,sell,-0.8807,-5.5,4.4,0.44,0.02666
2020-03-31,194881100,243.87987216336555,45.48056444701656,-12.925095615961538,-16.197308894328827,3.272213278367289,285.42224928009637,241.60996627807617,197.79768327605598,sell,sell,0.0,-5.5,4.4,0.44,0.02666
2020-04-01,189554600,242.44989503396764,41.729706325498064,-12.591116090143686,-15.4760703334918,2.8849542433481137,276.8407587635167,238.5937141418457,200.34666952017471,buy,buy,-1.0,-28.1,14.8,0.44,-0.14748
2020-04-02,177660400,241.6590765802118,44.158219586715866,-11.764671289641939,-14.733790524721828,2.969119235079889,269.6422478781915,236.3221794128418,203.0021109474921,sell,sell,0.0772,-28.1,14.8,0.44,-0.14748
2020-04-03,135561200,240.62125041595056,42.923625321933564,-11.253082054021434,-14.03764883058175,2.7845667765603164,262.36806280602076,234.11250991821288,205.85695703040503,buy,buy,0.0,-28.1,14.8,0.44,-0.14748
